feature,shap_importance
f_6,0.8355973
f_573,0.6922476
f_929,0.59632766
f_8,0.51437163
f_1470,0.49722373
f_794,0.44095802
f_823,0.40499634
f_3,0.37778684
f_639,0.3563031
f_19,0.32627654
f_1069,0.2719427
f_10,0.2702868
f_746,0.26008683
f_12,0.26006672
f_4,0.25202757
f_440,0.19273654
f_11,0.16297708
f_1196,0.16155174
f_943,0.14134464
f_68,0.13165571
f_5,0.12631933
f_764,0.11388495
f_651,0.11275283
f_114,0.10418075
f_881,0.09637108
f_482,0.0932145
f_1,0.09211437
f_7,0.0911085
f_35,0.08781382
f_33,0.08331987
f_13,0.078999214
f_14,0.06798154
f_834,0.06497596
f_1769,0.064199165
f_1054,0.053769678
f_16,0.05116898
f_522,0.047336016
f_1553,0.042853232
f_1658,0.038270205
f_1661,0.037098028
f_1783,0.036069788
f_848,0.0343884
f_20,0.031203106
f_1037,0.024222009
f_825,0.022390066
f_1199,0.021384206
f_849,0.018709984
f_15,0.016818011
f_1801,0.012757513
f_1246,0.011161207
f_584,0.010257453
f_370,0.008393959
f_1701,0.007204241
f_18,0.0071495147
f_358,0.005030955
f_1071,0.004114912
f_312,0.0030407624
f_1416,0.0025549093
f_37,0.0
f_38,0.0
f_39,0.0
f_40,0.0
f_41,0.0
f_42,0.0
f_43,0.0
f_44,0.0
f_45,0.0
f_46,0.0
f_47,0.0
f_48,0.0
f_49,0.0
f_50,0.0
f_51,0.0
f_52,0.0
f_53,0.0
f_54,0.0
f_55,0.0
f_56,0.0
f_57,0.0
f_58,0.0
f_59,0.0
f_60,0.0
f_61,0.0
f_62,0.0
f_63,0.0
f_64,0.0
f_65,0.0
f_66,0.0
f_67,0.0
f_69,0.0
f_70,0.0
f_71,0.0
f_72,0.0
f_73,0.0
f_74,0.0
f_75,0.0
f_76,0.0
f_77,0.0
f_78,0.0
f_79,0.0
f_80,0.0
f_81,0.0
f_82,0.0
f_83,0.0
f_84,0.0
f_85,0.0
f_86,0.0
f_87,0.0
f_88,0.0
f_89,0.0
f_90,0.0
f_91,0.0
f_92,0.0
f_93,0.0
f_94,0.0
f_95,0.0
f_96,0.0
f_97,0.0
f_98,0.0
f_99,0.0
f_100,0.0
f_101,0.0
f_102,0.0
f_103,0.0
f_104,0.0
f_105,0.0
f_106,0.0
f_107,0.0
f_108,0.0
f_109,0.0
f_110,0.0
f_111,0.0
f_112,0.0
f_113,0.0
f_115,0.0
f_116,0.0
f_117,0.0
f_118,0.0
f_119,0.0
f_120,0.0
f_121,0.0
f_122,0.0
f_123,0.0
f_124,0.0
f_125,0.0
f_126,0.0
f_127,0.0
f_128,0.0
f_129,0.0
f_130,0.0
f_131,0.0
f_132,0.0
f_133,0.0
f_134,0.0
f_135,0.0
f_136,0.0
f_137,0.0
f_138,0.0
f_139,0.0
f_140,0.0
f_141,0.0
f_142,0.0
f_143,0.0
f_144,0.0
f_145,0.0
f_146,0.0
f_147,0.0
f_148,0.0
f_149,0.0
f_150,0.0
f_151,0.0
f_152,0.0
f_153,0.0
f_154,0.0
f_155,0.0
f_156,0.0
f_157,0.0
f_158,0.0
f_159,0.0
f_160,0.0
f_161,0.0
f_162,0.0
f_163,0.0
f_164,0.0
f_165,0.0
f_166,0.0
f_167,0.0
f_168,0.0
f_169,0.0
f_170,0.0
f_171,0.0
f_172,0.0
f_173,0.0
f_174,0.0
f_175,0.0
f_176,0.0
f_177,0.0
f_178,0.0
f_179,0.0
f_180,0.0
f_181,0.0
f_182,0.0
f_183,0.0
f_184,0.0
f_185,0.0
f_186,0.0
f_187,0.0
f_188,0.0
f_189,0.0
f_190,0.0
f_191,0.0
f_192,0.0
f_193,0.0
f_194,0.0
f_195,0.0
f_196,0.0
f_197,0.0
f_198,0.0
f_199,0.0
f_200,0.0
f_201,0.0
f_202,0.0
f_203,0.0
f_204,0.0
f_205,0.0
f_206,0.0
f_207,0.0
f_208,0.0
f_209,0.0
f_210,0.0
f_211,0.0
f_212,0.0
f_213,0.0
f_214,0.0
f_215,0.0
f_216,0.0
f_217,0.0
f_218,0.0
f_219,0.0
f_220,0.0
f_221,0.0
f_222,0.0
f_223,0.0
f_224,0.0
f_225,0.0
f_226,0.0
f_227,0.0
f_228,0.0
f_229,0.0
f_230,0.0
f_231,0.0
f_232,0.0
f_233,0.0
f_234,0.0
f_235,0.0
f_236,0.0
f_237,0.0
f_238,0.0
f_239,0.0
f_240,0.0
f_241,0.0
f_242,0.0
f_243,0.0
f_244,0.0
f_245,0.0
f_246,0.0
f_247,0.0
f_248,0.0
f_249,0.0
f_250,0.0
f_251,0.0
f_252,0.0
f_253,0.0
f_254,0.0
