feature,shap_importance
num__overall_influence,2.0674772
num__past_purchase_flag,1.7354645
num__overall_smm_index,0.5349193
cat__age_range_35-44,0.21560098
num__ad_appeal,0.14305627
cat__gender_Male,0.13813181
num__trust_x_socialproof,0.099854186
cat__platform_instagram,0.09436715
cat__gender_Female,0.08295175
cat__occupation_Employed,0.06377783
num__brand_trust_score,0.05451249
num__ad_effectiveness_score,0.05387271
num__ad_exposure_ordinal,0.046232384
num__influencer_recommend,0.044231705
num__influencer_credibility_score,0.041429214
num__platform_usage_count,0.038322765
num__influencer_trust,0.03505818
num__social_proof_confidence,0.032070126
cat__age_range_25-34,0.02810971
cat__income_Prefer not to disclose,0.009405624
num__social_media_presence,0.008499681
"cat__income_50,000-100,000",0.006932422
num__brand_engagement_trust,0.0
num__platform_engagement_index,0.0
cat__gender_Prefer not to say,0.0
cat__age_range_45 and above,0.0
cat__age_range_18-24,0.0
cat__occupation_Other,0.0
"cat__income_100,000 and above",0.0
cat__occupation_Unemployed,0.0
"cat__income_25,000-50,000",0.0
cat__occupation_Student,0.0
"cat__income_Below 25,000",0.0
cat__platform_facebook,0.0
cat__platform_tiktok,0.0
cat__platform_twitter,0.0
cat__platform_youtube,0.0
cat__app_helpful_Maybe,0.0
cat__app_helpful_No,0.0
cat__app_helpful_Yes,0.0
