platform,brand,type,followers_count,hashtag_count,mention_count,caption_len_words,caption_len_chars,sentiment_polarity,sentiment_subjectivity,post_hour,post_dayofweek,is_weekend,hour_sin,hour_cos,dow_sin,dow_cos,caption,high_engagement_label,split
facebook,mbfwsrilanka,Sidecar,53330,5,8,80,628,0.3166666666666667,0.5166666666666667,15,6,1,-0.7071067811865471,-0.707106781186548,-0.78183148246803,0.6234898018587333,"Day 04 – Destination Island Runway | @mooseclothingco 

The showcase celebrated a free-spirited personality through versatile clothing designed to work, dance, and play. Each piece embodied effortless movement and individuality, crafted for those who embrace life with energy and style. Modern silhouettes and thoughtful detailing, redefining fashion as a companion to every adventure.

Presented by @aod_design
Powered by @dimosrilanka
Hosted by @cinnamonlifecolombo
Payment Partner @visasrilanka
Banking Partner @sampathbankplc
Hair & Makeup Partner @kess_salon

Photography @shane_ockersz 

#MBFWSL #MBFWSL25 #MBFW #Dimo #AOD",0,train
instagram,mooseclothingco,Video,26751,6,0,49,367,-0.2,0.6,9,3,0,0.7071067811865477,-0.7071067811865475,0.4338837391175582,-0.900968867902419," Christmas looks that bring the season to life.
From festive colours to feel-good everyday fits - find styles made for celebrations, get-togethers and everything in between.

Shop the Christmas collection now and dress the season your way. ✨
Shop now  LINK IN BIO

#mooseclothingcompany #ownyourstory #christmascollection #festivestyle #holidaylooks #seasonalshopping",1,train
tiktok,mooseclothingco,Image,26751,0,0,10,52,0.0,0.0,8,4,0,0.8660254037844387,-0.4999999999999997,-0.433883739117558,-0.900968867902419,Did you realize that Christmas is just 6 days away? ,1,train
facebook,mooseclothingco,Video,26751,0,0,29,155,0.35,0.9,12,1,0,1.2246467991473532e-16,-1.0,0.7818314824680299,0.6234898018587335,"Santa’s still listening… but only till the 26th ✨

Go record your message, and get it downloaded to share with your loved ones

One Galle Face Mall Level 4",1,train
instagram,kavihari_haputhanthri,Video,25115,0,1,15,88,0.1363636363636364,0.4545454545454545,4,6,1,0.8660254037844385,0.5000000000000001,-0.78183148246803,0.6234898018587333,"@mooseclothingco අලුත්ම outlet එක දැන් Kandy වල! ♥️

Moose Clothing | Kandy | New outlet",0,test
tiktok,mooseclothingco,Sidecar,26751,3,0,10,87,1.0,1.0,10,1,0,0.4999999999999999,-0.8660254037844386,0.7818314824680299,0.6234898018587335,"Perfect gifts comes with a perfect smiles 

#Mooseclothingcompany #PefectFit #christmas",1,train
facebook,mooseclothingco,Video,26751,4,0,36,244,0.3204545454545455,0.4848484848484849,16,4,0,-0.8660254037844383,-0.5000000000000003,-0.433883739117558,-0.900968867902419,"Here’s a glimpse of how we welcomed the New Year. We are ready to create, elevate, and serve better styles ahead.

Here’s to growing, creating, and styling the year ahead with you!

#mooseclothingcompany #ownyourstory #newyearmoments #teammoose",1,train
facebook,mooseclothingco,Sidecar,26751,0,0,65,392,0.2887784090909091,0.5105113636363636,12,3,0,1.2246467991473532e-16,-1.0,0.4338837391175582,-0.900968867902419,"Starting the year with blessings, reflection, and togetherness. Guided by the wisdom of all four religions, we step into a new chapter filled with ambition and creativity. This year, we look forward to serving you with elevated styles, thoughtful fashion, and the same passion that drives everything we do.

Happy New Year to our family here’s to a year full of growth, creativity, and style!",1,train
instagram,odel.official,Sidecar,92512,4,0,47,336,0.1333333333333333,0.4333333333333333,11,6,1,0.258819045102521,-0.9659258262890684,-0.78183148246803,0.6234898018587333,"Timeless Style, Modern Finish 
Discover Burberry sunglasses, where refined design meets timeless style—crafted to elevate everyday looks.

 Available at
One Galle Face Mall | Alexandra Place | Havelock City Mall
Armani Exchange, Level 1 – One Galle Face Mall | ODEL Mall Kandy

#Burberry #BurberryEyewear #SunglassesStyle #LuxuryEyewear",0,train
instagram,eightypercentplanet,Sidecar,71377,3,0,22,155,0.0,0.0,13,2,0,-0.2588190451025208,-0.9659258262890684,0.9749279121818238,-0.2225209339563143,"AUREA Collection by Eighty% ✨

In Stores: Colombo 03 | Nugegoda | Colombo City Centre, Level 02 | Wattala
#EightyPercent #AureaCollection #SustainableStyle",1,train
